,_id,brand.name,sim_basket_price,expensive_list,regular_price,offer_price,basket_price,discount,discount_diff,competition,comp_basket_price
0,5da822166504fb65da005a59,prada,[0],[0],1160,1160,1160,0,0,0,0
1,5da822607d3a9baa211f85f4,prada,[605.0],['5da94e940ffeca000172b12a'],1210,1210,1210,0,100,5da94e940ffeca000172b12a,605
2,5da8221a6504fb65da005a7b,prada,[518.0],['5d0cc7b68a66a100014acdb0'],855,855,855,0,65.05791506,5d0cc7b68a66a100014acdb0,518
3,5da8218b6504fb65da004fb2,prada,[357.0],['5da94e940ffeca000172b12a'],700,700,700,0,96.07843137,5da94e940ffeca000172b12a,357
4,5da823b76504fb65cb261ac9,prada,[440.0],['5da94e940ffeca000172b12a'],880,880,880,0,100,5da94e940ffeca000172b12a,440
5,5da823b76504fb65cb261ad1,prada,[749.0],['5da94e940ffeca000172b12a'],1070,1070,1070,0,42.85714286,5da94e940ffeca000172b12a,749
6,5da822607d3a9baa211f8624,a.p.c. atelier de production et de création,[90.0],['5da94e940ffeca000172b12a'],155,155,160,0,77.77777778,5da94e940ffeca000172b12a,90
7,5da820fc6504fb65da0044eb,the row,[504.0],['5da94e940ffeca000172b12a'],725,507.5,507.5,217.5,0.694444444,5da94e940ffeca000172b12a,504
8,5db81088d5424ee1f33529d6,gucci,[0],[0],445,445,445,0,0,0,0
9,5da820c66504fb65cea70317,the row,[0],[0],1200,1200,1200,0,0,0,0
10,5da8220f6504fb65da00598d,the row,[0],[0],1200,1200,1200,0,0,0,0
11,5da820756504fb65da003b2e,the row,[478.0],['5d0cc7b68a66a100014acdb0'],500,500,500,0,4.60251046,5d0cc7b68a66a100014acdb0,478
12,5da821186504fb65d41c58ee,the row,[0],[0],1675,1675,1675,0,0,0,0
13,5db81081d5424ee1f335289d,saint laurent,[0],[0],425,425,425,0,0,0,0
14,5da820416504fb65da0038e1,jimmy choo,[0],[0],450,450,450,0,0,0,0
15,5da820db6504fb65da004285,christian louboutin,[490.0],['5da94e940ffeca000172b12a'],495,495,495,0,1.020408163,5da94e940ffeca000172b12a,490
16,5da820ad6504fb65da004091,christian louboutin,[0],[0],585,585,585,0,0,0,0
17,5da820ff6504fb65da004551,christian louboutin,[0],[0],585,585,585,0,0,0,0
18,5da8218f6504fb65c4de40cc,christian louboutin,[0],[0],675,675,675,0,0,0,0
